PUBCHEM_SID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
134310983,Inactive,0
134310987,Inactive,0
134310988,Inactive,0
134310991,Inactive,0
134310992,Inactive,0
134310993,Inactive,0
134310995,Inactive,0
134310998,Inactive,0
134311000,Inactive,0
134311003,Inactive,0
134311007,Inactive,0
134311009,Inactive,0
134311010,Inactive,0
134311012,Inactive,0
134311013,Inactive,0
134311014,Inactive,0
134311015,Inactive,0
134311016,Inactive,0
134311018,Inactive,0
134311021,Inactive,0
134311029,Inactive,0
134311033,Inactive,0
134311034,Inactive,0
134311035,Inactive,0
134311036,Inactive,0
134311037,Inactive,0
134311038,Inactive,0
134311039,Inactive,0
134311042,Inactive,0
134311043,Inactive,0
134311044,Inactive,0
134311047,Inactive,0
134311050,Inactive,0
134311051,Inactive,0
134311052,Inactive,0
134311056,Inactive,0
134311058,Inactive,0
134311059,Inactive,0
134311060,Inactive,0
134311062,Inactive,0
134311063,Inactive,0
134311066,Inactive,0
134311067,Inactive,0
134311070,Inactive,0
134311071,Inactive,0
134311073,Inactive,0
134311074,Inactive,0
134311082,Inactive,0
134311086,Inactive,0
134311089,Inactive,0
134311100,Inactive,0
134311110,Inactive,0
134311111,Active,100
134311113,Inactive,0
134311116,Inactive,0
134311118,Inactive,0
134311119,Inactive,0
134311124,Inactive,0
134311128,Inactive,0
134311131,Inactive,0
134311133,Inactive,0
134311140,Inactive,0
134311141,Inactive,0
134311142,Inactive,0
134311143,Inactive,0
134311144,Inactive,0
134311145,Inactive,0
134311148,Inactive,0
134311152,Inactive,0
134311158,Inactive,0
134311159,Active,100
134311165,Inactive,0
134311175,Inactive,0
134311179,Inactive,0
134311180,Inactive,0
134311182,Inactive,0
134311183,Active,100
134311184,Inactive,0
134311188,Inactive,0
134311189,Inactive,0
134311190,Inactive,0
134311195,Inactive,0
134311202,Inactive,0
134311209,Active,100
134311212,Inactive,0
134311218,Inactive,0
134311220,Inactive,0
134311221,Inactive,0
134311223,Inactive,0
134311226,Inactive,0
134311227,Inactive,0
134311228,Inactive,0
134311229,Inactive,0
134311230,Inactive,0
134311234,Inactive,0
134311239,Inactive,0
134311240,Inactive,0
134311241,Inactive,0
134311242,Inactive,0
134311243,Inactive,0
134311250,Inactive,0
134311254,Inactive,0
134311261,Inactive,0
134311263,Inactive,0
134311267,Inactive,0
134311269,Inactive,0
134311271,Inactive,0
134311275,Inactive,0
134311276,Inactive,0
134311284,Active,100
134311285,Inactive,0
134311297,Inactive,0
134311299,Inactive,0
134311301,Inactive,0
134311304,Inactive,0
134311305,Inactive,0
134311309,Inactive,0
134311314,Inactive,0
134311319,Inactive,0
134311320,Inactive,0
134311324,Inactive,0
134311330,Inactive,0
134311335,Inactive,0
134311337,Inactive,0
134311341,Inactive,0
134311345,Inactive,0
134311354,Inactive,0
134311355,Inactive,0
134311357,Inactive,0
