PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Vendor Supplied Gene Symbol,Raw Sample Value,Median Negative Control on Plate,Median Positive Control on Plate,PPT Sample as Percentage of Negative Control,PPT MAD Z-Score,PPT Log MAD Z-Score,"Cell Count, Sample",Median Negative Control Cell Count on Plate,Median Positive Control Cell Count on Plate,"Sample Cell Count, MAD Z-Score Normalized to Negative Control",Sample Mitochondrial Signal,Median Negative Control Mitochondrial Signal on Plate,Median Positive Control Mitochondrial Signal on Plate,"Sample mitochondrial signal, MAD Z-Score Normalized to Negative Control",HUGO Gene Symbol,Entrez GeneID,CatalogNumber,REFSEQ,PLATE ID,Row Number,Column Number,Passed Initial Activity Threshold?
RESULT_TYPE,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,TARGET_NCBI_GENE_ID,STRING,STRING,STRING,INTEGER,INTEGER,STRING
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,,,,NONE,NONE,
14998,152152392,,Inactive,0,,,GNG11,36.9397,36.5438,94.5212,101.083,-0.411418,-0.439139,1136,1115.5,950.5,1.56449,47.3592,63.8407,73.5051,-0.485786,GNG11,2791,M-016036-01,NM_004126,QDA103972,12,10,No
14999,152152393,,Inactive,0,,,FLJ14146,20.4385,32.4599,94.5014,62.9655,-1.14511,-1.52281,1165,1301,999,0.488288,38.6266,41.977,57.6373,0.639917,C1orf115,79762,M-018392-01,NM_024709,QDA103843,10,18,No
15000,152152394,,Inactive,0,,,GOLGIN-67,50.3212,34.1796,94.4197,147.226,0.476737,0.421695,842,1313.5,1037.5,-1.73946,47.1496,49.3703,60.4839,0.85978,GOLGA8A,23015,M-017330-01,NM_181077,QDA103753,7,14,No
15001,152152395,,Inactive,0,,,NUP205,54.6906,35.1362,94.6735,155.653,0.638951,0.549126,909,1127,967,-0.290098,50.6051,61.1021,71.0379,0.0593655,NUP205,23165,M-010646-01,NM_015135,QDA103937,14,15,No
15002,152152396,,Inactive,0,,,THAP9,38.8755,37.3744,93.9752,104.016,-0.354964,-0.37366,1048,1102,961,0.974529,40.7443,51.6527,68.8182,-0.189272,THAP9,79725,M-021453-01,NM_024672,QDA103919,11,17,No
15003,152152398,,Inactive,0,,,NDUFS3,23.015,10.1407,91.6574,226.957,2.01141,1.41249,807,1329.5,1048.5,-2.03751,14.1264,32.8163,44.5829,-2.45102,NDUFS3,4722,M-019815-01,NM_004551,MAY1100743,12,3,No
15004,152152399,,Inactive,0,,,ASF1B,21.2248,33.9208,94.4323,62.5718,-1.15269,-1.53717,1042,1304,1015.5,-0.355648,45.1056,44.8517,59.5009,1.1794,ASF1B,55723,M-020553-01,NM_018154,QDA103773,15,8,No
15005,152152400,,Inactive,0,,,TTLL1,40.4913,20.0391,92.1121,202.062,1.53222,1.1465,1175,1469,1150.5,-0.348782,49.5319,47.0984,60.5051,1.4698,TTLL1,25809,M-009556-01,NM_012263,QDA103531,4,22,No
15006,152152401,,Inactive,0,,,EPLIN,45.7061,30.0608,94.3068,152.046,0.569509,0.49544,891,1386,1039.5,-1.72351,39.7306,45.6733,57.6952,0.322454,LIMA1,51474,M-010663-01,NM_016357,QDA103820,9,12,No
15007,152152402,,Inactive,0,,,EXOSC10,53.6562,38.8317,94.1628,138.176,0.302555,0.27647,874,1361,968,-1.72949,26.4302,43.7155,49.8988,-1.35199,EXOSC10,5394,M-010904-01,NM_002685,QDA103627,12,21,No
15008,152152403,,Inactive,0,,,SRM,24.909,20.7811,91.2401,119.863,-0.0499387,-0.0490242,1207,1423.5,1155.5,0.0719038,42.4192,43.5888,57.6915,0.974333,SRM,6723,M-006669-01,NM_003132,QDA103458,13,17,No
15009,152152407,,Active,100,,,TNK1,17.7553,38.8317,94.1628,45.7237,-1.47699,-2.25532,1031,1361,968,-0.719441,53.0553,43.7155,49.8988,2.49217,TNK1,8711,M-003180-03,NM_003985,QDA103627,2,16,Yes
15010,152152409,,Inactive,0,,,CLDN1,49.8701,30.2078,93.5748,165.09,0.820596,0.683879,731,1272.5,991.5,-2.32239,31.0534,44.1862,54.2151,-0.732258,CLDN1,9076,M-017369-01,NM_021101,QDA103737,3,21,No
15011,152152410,,Inactive,0,,,ZNF264,36.8291,36.484,94.2952,100.946,-0.414067,-0.442259,1093,1409.5,993,-0.562527,40.1647,48.0885,61.2497,0.103666,ZNF264,9422,M-012661-01,NM_003417,QDA103745,2,16,No
15012,152152411,,Inactive,0,,,KCTD12,16.4865,19.6397,90.8991,83.9447,-0.741304,-0.864464,1029,1479.5,1170,-1.26253,33.7221,44.9175,57.0856,-0.429474,KCTD12,115207,M-015610-01,NM_138444,QDA103646,9,14,No
15013,152152412,,Inactive,0,,,PUSL1,18.2493,22.5118,90.8912,81.0655,-0.796724,-0.944365,1177,1431.5,1149,-0.153084,48.5981,43.544,55.1021,1.87628,PUSL1,126789,M-016667-01,NM_153339,QDA103467,6,18,No
15014,152152415,,Inactive,0,,,PRX,45.7094,29.5139,94.4605,154.874,0.623951,0.537636,1059,1245,1001,0.0954774,31.728,41.8433,55.7556,-0.382113,PRX,57716,M-031718-01,NM_181882,QDA103855,2,13,No
15015,152152416,,Inactive,0,,,BUB3,28.7227,21.695,90.6061,132.393,0.191231,0.178584,1321,1394,1181,0.945061,37.0931,45.271,57.4234,0.00352376,BUB3,9184,M-006826-01,NM_001007793,QDA103503,2,6,No
15016,152152417,,Inactive,0,,,TNIP1,52.2989,33.9208,94.4323,154.179,0.61058,0.527344,954,1304,1015.5,-0.946534,38.26,44.8517,59.5009,0.216065,TNIP1,10318,M-016358-01,NM_006058,QDA103773,3,14,No
15017,152152418,,Inactive,0,,,LEPREL2,24.9515,20.7811,91.2401,120.068,-0.0460024,-0.0451216,942,1423.5,1155.5,-1.5581,29.5117,43.5888,57.6915,-0.894692,LEPREL2,10536,M-018228-01,NM_014262,QDA103458,13,13,No
15018,152152419,,Inactive,0,,,CYB5R2,32.4754,20.7811,91.2401,156.273,0.650888,0.558229,1259,1423.5,1155.5,0.391753,34.4718,43.5888,57.6915,-0.176461,CYB5R2,51700,M-008752-01,NM_016229,QDA103458,12,12,No
15019,152152420,,Inactive,0,,,PPP2R1B,73.8562,37.5698,93.9149,196.584,1.42679,1.08359,995,1314,967,-0.72208,32.0603,42.5495,52.952,-0.412261,PPP2R1B,5519,M-017592-02,NM_181699,QDA103628,6,8,No
15020,152152422,,Inactive,0,,,MTMR6,25.1627,37.5698,93.9149,66.9759,-1.06792,-1.38145,1201,1314,967,0.650605,25.9784,42.5495,52.952,-1.31444,MTMR6,9107,M-008309-01,NM_004685,QDA103628,8,6,No
15021,152152425,,Inactive,0,,,NTRK2,54.9285,38.8317,94.1628,141.453,0.36562,0.33012,1211,1361,968,0.438572,46.4079,43.7155,49.8988,1.53242,NTRK2,4915,M-003160-02,NM_001018064,QDA103627,4,19,No
15022,152152426,,Inactive,0,,,FLJ12973,53.0854,35.1319,94.0011,151.103,0.551364,0.481202,1054,1320,1047,-0.360857,32.1632,46.4009,61.5548,-0.793003,WDR76,79968,M-014509-01,NM_024908,QDA103785,9,21,No
15023,152152427,,Inactive,0,,,SLC25A28,38.1503,37.3744,93.9752,102.076,-0.392313,-0.41677,960,1102,961,0.275331,39.0625,51.6527,68.8182,-0.394777,SLC25A28,81894,M-007368-01,NM_031212,QDA103919,13,4,No
15024,152152429,,Inactive,0,,,LOC201175,28.7081,38.9748,94.738,73.6582,-0.939299,-1.16373,871,1106.5,948,-0.459957,46.3835,60.3996,72.0339,-0.320991,-,201175,M-030897-01,NM_174919,QDA103996,14,7,No
15025,152152431,,Inactive,0,,,HSF4,21.7707,20.0391,92.1121,108.641,-0.265945,-0.274069,1255,1469,1150.5,0.128052,40.1594,47.0984,60.5051,0.213777,HSF4,3299,M-011295-01,NM_001538,QDA103531,6,18,No
15026,152152432,,Inactive,0,,,POLR3C,56.7364,29.2368,94.7973,194.058,1.37817,1.05398,1148,1239,991,0.760496,53.8328,46.0401,63.6347,2.21199,POLR3C,10623,M-019448-01,NM_006468,QDA103872,5,4,No
15027,152152433,,Inactive,0,,,RPL35,66.6667,33.9085,94.9508,196.607,1.42724,1.08386,926,1143.5,951,-0.261831,55.9395,65.945,74.7808,0.186047,RPL35,11224,M-012371-01,NM_007209,QDA103952,4,15,No
15028,152152434,,Inactive,0,,,GLRX2,28.9625,21.9795,90.6248,131.771,0.179259,0.167802,1284,1401.5,1181.5,0.669502,32.0872,45.3517,58.6542,-0.702362,GLRX2,51022,M-021332-01,NM_197962,QDA103583,15,15,No
15029,152152435,,Inactive,0,,,RNU3IP2,53.7937,30.2078,93.5748,178.079,1.0706,0.857258,972,1272.5,991.5,-0.664109,38.5802,44.1862,54.2151,0.342906,RRP9,9136,M-017793-01,NM_004704,QDA103737,14,4,No
15030,152152436,,Inactive,0,,,FLJ10781,50.7143,31.3817,94.613,161.605,0.7535,0.635023,1179,1331,1024.5,0.403664,43.0025,49.4545,63.6211,0.320248,-,55228,M-021021-01,NM_001103149,QDA103880,2,18,No
15031,152152438,,Inactive,0,,,TNA,55.6851,34.1796,94.4197,162.919,0.778805,0.653572,614,1313.5,1037.5,-3.25932,31.759,49.3703,60.4839,-1.10782,CLEC3B,7123,M-019749-01,NM_003278,QDA103753,4,5,No
15032,152152440,,Inactive,0,,,BUB1,29.7021,38.6229,93.3125,76.9029,-0.876845,-1.06504,1050,1275,1010.5,-0.14157,33.1429,40.0672,54.6009,0.0529106,BUB1,699,M-004102-01,NM_004336,QDA103595,2,3,No
15033,152152441,,Inactive,0,,,CEACAM8,47.8956,31.3817,94.613,152.623,0.580616,0.504112,1067,1331,1024.5,-0.333118,53.0459,49.4545,63.6211,1.60205,CEACAM8,1088,M-017056-01,NM_001816,QDA103880,7,10,No
15034,152152442,,Inactive,0,,,RAF1,28.4475,38.8317,94.1628,73.2586,-0.946991,-1.17618,1040,1361,968,-0.66154,36.3462,43.7155,49.8988,0.0796867,RAF1,5894,M-003601-02,NM_002880,QDA103627,4,12,No
15035,152152446,,Inactive,0,,,CD1C,66.3537,30.2078,93.5748,219.658,1.87091,1.33766,1060,1272.5,991.5,-0.0585952,24.6226,44.1862,54.2151,-1.65084,CD1C,911,M-019500-01,NM_001765,QDA103737,2,3,No
15036,152152448,,Inactive,0,,,UGDH,15.1767,18.4552,90.6847,82.2356,-0.774202,-0.911557,1312,1456.5,1165.5,0.534909,41.311,43.7454,59.5963,0.792437,UGDH,7358,M-019564-02,NM_003359,QDA103556,7,16,No
15037,152152451,,Active,100,,,MGC20533,14.8562,30.0608,94.3068,49.4206,-1.40583,-2.07732,1105,1386,1039.5,-0.371596,28.3258,45.6733,57.6952,-1.25361,-,93323,M-031247-01,NM_001011699,QDA103820,8,7,Yes
15038,152152453,,Inactive,0,,,UCN2,45.9272,33.9085,94.9508,135.444,0.249968,0.230751,1069,1143.5,951,0.83313,51.5435,65.945,74.7808,-0.234704,UCN2,90226,M-018173-01,NM_033199,QDA103952,6,8,No
15039,152152456,,Inactive,0,,,CCRK,48.2143,38.6229,93.3125,124.833,0.0457268,0.0439869,1297,1275,1010.5,1.55466,39.9383,40.0672,54.6009,1.12339,CCRK,23552,M-004686-02,NM_012119,QDA103595,2,4,No
15040,152152457,,Inactive,0,,,SLC25A29,37.8929,21.8358,91.9146,173.536,0.983156,0.798097,1023,1416.5,1136.5,-1.02877,33.8221,48.3002,59.2304,-0.74826,SLC25A29,123096,M-007318-01,NM_001039355,QDA103591,9,19,No
15041,152152458,,Active,100,,,TMC3,17.5,34.8669,94.0704,50.1908,-1.391,-2.04192,1251,1288,1000,1.15206,35.012,43.9986,57.1148,-0.145465,TMC3,342125,M-018586-01,NM_001080532,QDA103765,10,8,Yes
15042,152152459,,Inactive,0,,,COX6B2,33.2447,20.0319,90.3572,165.959,0.837315,0.695893,1027,1457,1168,-1.18051,38.6563,47.4073,58.9394,-0.0214076,COX6B2,125965,M-019413-02,NM_144613,QDA103469,2,13,No
15043,152152463,,Inactive,0,,,TRIP6,23.4671,20.0397,91.2489,117.103,-0.103068,-0.102359,1199,1447.5,1148,-0.0995831,39.1159,45.5163,56.0895,0.256156,TRIP6,7205,M-012605-01,NM_003302,QDA103561,13,10,No
15044,152152465,,Inactive,0,,,FANCE,53.0343,36.804,94.9573,144.099,0.416559,0.372556,716,1138.5,959.5,-1.84574,47.2067,49.9338,71.064,0.798973,FANCE,2178,M-013991-01,NM_021922,QDA103944,9,17,No
15045,152152466,,Inactive,0,,,ASNS,31.4369,19.606,90.2718,160.343,0.729227,0.617089,1230,1414,1158.5,0.264205,40.4065,43.1955,58.9567,0.736158,ASNS,440,M-009377-02,NM_001673,QDA103513,4,4,No
15046,152152467,,Inactive,0,,,NMNAT1,17.8161,9.53179,92.239,186.912,1.24063,0.96809,1155,1373.5,1069.5,0.0106765,24.4156,30.0506,47.4993,-0.0398681,NMNAT1,64802,M-008951-01,NM_022787,MAY1100741,10,22,No
15047,152152468,,Inactive,0,,,C9ORF79,62.9245,36.5438,94.5212,172.189,0.957235,0.780262,938,1115.5,950.5,0.0103365,42.7505,63.8407,73.5051,-0.941423,C9orf79,286234,M-018013-01,NM_178828,QDA103972,6,17,No
15048,152152469,,Inactive,0,,,ATG4D,26.9746,20.4162,90.2684,132.123,0.186041,0.173916,1411,1385.5,1193,1.56473,37.1368,41.3965,56.0385,0.494201,ATG4D,84971,M-005790-01,NM_032885,QDA103642,4,20,No
15049,152152470,,Inactive,0,,,CLCN6,18.4874,19.6397,90.8991,94.1328,-0.545203,-0.602227,979,1479.5,1170,-1.55844,24.7191,44.9175,57.0856,-1.69455,CLCN6,1185,M-006154-01,NM_021737,QDA103646,9,12,No
15050,152152472,,Inactive,0,,,C6ORF49,41.4126,22.7566,89.983,181.981,1.14571,0.90688,1090,1439.5,1209.5,-0.722277,39.3578,44.2122,57.9612,0.450671,C6orf49,29964,M-006979-01,NM_013397,QDA103662,11,15,No
15051,152152473,,Inactive,0,,,LOC134548,58.6618,32.4599,94.5014,180.721,1.12145,0.890971,1046,1301,999,-0.312594,31.6444,41.977,57.6373,-0.40994,ANKRD43,134548,M-017945-01,NM_175873,QDA103843,2,10,No
15052,152152474,,Inactive,0,,,C6ORF213,26.8519,36.0002,94.9202,74.5881,-0.921401,-1.13501,1056,1060.5,948.5,1.36643,37.6894,59.1218,70.3279,-1.14438,C6orf213,134829,M-024722-01,NM_001010852,QDA103891,6,16,No
15053,152152475,,Active,100,,,COL5A3,15.7377,33.8533,95.2926,46.4879,-1.46228,-2.21737,1104,1096,946.5,1.46749,44.1123,58.7768,70.1715,-0.431051,COL5A3,50509,M-013060-02,NM_015719,QDA103813,5,14,Yes
15054,152152476,,Inactive,0,,,NMUR1,29.7735,33.8736,93.9618,87.8958,-0.665252,-0.75917,1102,1304.5,1028.5,0.0443931,35.4809,41.4728,55.8865,0.231784,NMUR1,10316,M-005590-01,NM_006056,QDA103599,5,17,No
15055,152152477,,Inactive,0,,,H2AFJ,31.4236,31.3817,94.613,100.133,-0.429701,-0.460754,1046,1331,1024.5,-0.471264,36.5201,49.4545,63.6211,-0.507086,H2AFJ,55766,M-006483-02,NM_177925,QDA103880,14,18,No
15056,152152478,,Inactive,0,,,RNF150,21.9424,19.6397,90.8991,111.725,-0.206586,-0.20999,979,1479.5,1170,-1.55844,27.6813,44.9175,57.0856,-1.27831,RNF150,57484,M-010713-01,NM_020724,QDA103646,2,11,No
15057,152152479,,Inactive,0,,,QSCN6,55.3571,21.8358,91.9146,253.516,2.52261,1.66584,1314,1416.5,1136.5,0.769995,28.2344,48.3002,59.2304,-1.47844,QSOX1,5768,M-011371-01,NM_001004128,QDA103591,15,15,No
15058,152152480,,Inactive,0,,,TBCD,51.1566,36.3825,95.4171,140.608,0.349348,0.316397,985,1049,940.5,0.869383,47.9188,55.3421,68.2537,0.297059,TBCD,6904,M-013416-01,NM_005993,QDA103929,2,20,No
15059,152152481,,Inactive,0,,,FLJ25224,30.1213,30.0608,94.3068,100.201,-0.428393,-0.4592,1268,1386,1039.5,0.658134,36.9874,45.6733,57.6952,-0.0566435,FAM55B,120406,M-018588-01,NM_182495,QDA103820,10,10,No
15060,152152483,,Inactive,0,,,GNB4,19.2255,21.1397,91.5204,90.9453,-0.606556,-0.681091,1339,1449.5,1145.5,0.736095,31.7401,46.4647,58.6575,-0.856486,GNB4,59345,M-017238-01,NM_021629,QDA103485,7,5,No
15061,152152485,,Inactive,0,,,CSF1R,54.157,38.6229,93.3125,140.22,0.34189,0.31008,801,1275,1010.5,-1.85154,31.7104,40.0672,54.6009,-0.172747,CSF1R,1436,M-003109-03,NM_005211,QDA103595,3,14,No
15062,152152486,,Inactive,0,,,SPON1,47.2447,38.7128,94.8327,122.039,-0.0080579,-0.00783964,1069,1071,930,1.38723,57.0627,58.5053,70.947,0.988049,SPON1,10418,M-012730-01,NM_006108,QDA103887,12,4,No
15063,152152487,,Inactive,0,,,C12ORF10,40.2259,33.2009,94.8342,121.159,-0.025002,-0.0244129,988,1114,949,0.413242,64.5749,57.5755,71.2572,1.91099,C12orf10,60314,M-013747-01,NM_021640,QDA103899,3,11,No
15064,152152490,,Inactive,0,,,LRRTM2,31.8333,29.2368,94.7973,108.881,-0.261329,-0.269021,1079,1239,991,0.272882,43.3735,46.0401,63.6347,0.778114,LRRTM2,26045,M-032639-00,NM_015564,QDA103872,3,14,No
15065,152152491,,Active,100,,,RARG,36.2795,9.53179,92.239,380.616,4.96906,2.59614,885,1373.5,1069.5,-1.71053,22.8249,30.0506,47.4993,-0.373977,RARG,5916,M-003439-01,NM_001042728,MAY1100741,6,19,Yes
15066,152152492,,Inactive,0,,,RPL37A,80.4004,36.484,94.2952,220.371,1.88465,1.34508,850,1409.5,993,-2.07205,36.4706,48.0885,61.2497,-0.38119,RPL37A,6168,M-013478-01,NM_000998,QDA103745,10,13,No
15067,152152494,,Inactive,0,,,ARHGAP20,64.6392,43.3453,94.8239,149.126,0.513315,0.451055,918,1104,982.5,-0.0715903,51.7429,55.319,68.2809,0.735664,ARHGAP20,57569,M-026514-01,NM_020809,QDA104007,5,18,No
15068,152152495,,Inactive,0,,,NKX2-3,40.4406,22.5118,90.8912,179.642,1.10069,0.877266,1174,1431.5,1149,-0.171433,29.7274,43.544,55.1021,-0.859029,NKX2-3,159296,M-016090-01,NM_145285,QDA103467,3,19,No
15069,152152497,,Inactive,0,,,TSPYL2,29.0435,36.1611,95.1837,80.317,-0.811131,-0.9656,1041,1090.5,955,1.00614,50.048,58.5323,71.579,0.228805,TSPYL2,64061,M-013880-01,NM_022117,QDA103802,10,17,No
15070,152152498,,Inactive,0,,,TRAF1,54.9356,38.9748,94.738,140.952,0.355973,0.321995,425,1106.5,948,-3.98921,22.1176,60.3996,72.0339,-2.85674,TRAF1,7185,M-017438-01,NM_005658,QDA103996,10,22,No
15071,152152499,,Inactive,0,,,CHST3,26.6328,20.0391,92.1121,132.904,0.201075,0.18741,1255,1469,1150.5,0.128052,33.1474,47.0984,60.5051,-0.725901,CHST3,9469,M-003958-01,NM_004273,QDA103531,2,16,No
15072,152152500,,Inactive,0,,,CHRNA9,33.3086,21.0964,90.5842,157.888,0.681956,0.581754,1180,1445,1226.5,-0.202164,36.4407,42.8374,56.9079,0.201189,CHRNA9,55584,M-006141-02,NM_017581,QDA103660,3,15,No
15073,152152501,,Inactive,0,,,MGC42174,19.6429,21.9795,90.6248,89.3691,-0.636895,-0.721115,1099,1401.5,1181.5,-0.486285,28.1165,45.3517,58.6542,-1.25498,DIS3L2,129563,M-018715-01,NM_152383,QDA103583,15,17,No
15074,152152502,,Inactive,0,,,MGC33365,54.5746,36.4459,93.9913,149.742,0.525163,0.460485,1134,1346.5,1034,0.0217621,41.1817,45.504,57.7822,0.544145,C3orf58,205428,M-018471-01,NM_173552,QDA103747,13,3,No
15075,152152503,,Inactive,0,,,CA2,19.5437,21.695,90.6061,90.0836,-0.623142,-0.702885,939,1394,1181,-1.45432,32.1619,45.271,57.4234,-0.683992,CA2,760,M-009639-02,NM_000067,QDA103503,13,11,No
15076,152152504,,Inactive,0,,,GNG5,70.0704,36.5438,94.5212,191.744,1.33362,1.02651,751,1115.5,950.5,-1.45748,43.0093,63.8407,73.5051,-0.915838,GNG5,2787,M-012699-01,NM_005274,QDA103972,3,19,No
15077,152152505,,Inactive,0,,,CHCHD3,60.3365,34.8669,94.0704,173.048,0.973765,0.791651,1169,1288,1000,0.594617,36.6125,43.9986,57.1148,0.0841301,CHCHD3,54927,M-020803-01,NM_017812,QDA103765,11,7,No
15078,152152507,,Inactive,0,,,MGC41943,45.4688,29.5139,94.4605,154.059,0.608255,0.52555,1197,1245,1001,1.06601,43.9432,41.8433,55.7556,1.46044,CTAGE6,340307,M-018312-01,NM_178561,QDA103855,6,6,No
15079,152152508,,Inactive,0,,,LRBA,41.2865,37.5458,94.6283,109.963,-0.240501,-0.246382,1220,1123.5,982,2.15564,52.377,60.3039,72.446,0.314023,LRBA,987,M-012751-01,NM_006726,QDA103984,6,20,No
15080,152152509,,Inactive,0,,,DACH1,38.1242,22.5118,90.8912,169.352,0.902628,0.742229,1380,1431.5,1149,1.08858,25.1449,43.544,55.1021,-1.52326,DACH1,1602,M-013222-01,NM_004392,QDA103467,14,19,No
15081,152152511,,Inactive,0,,,PTGIS,29.6731,21.1397,91.5204,140.367,0.344714,0.312475,1046,1449.5,1145.5,-1.0338,40.8222,46.4647,58.6575,0.377209,PTGIS,5740,M-004691-02,NM_000961,QDA103485,13,15,No
15082,152152512,,Inactive,0,,,CGI-37,57.7438,30.0608,94.3068,192.09,1.34029,1.03065,997,1386,1039.5,-1.05387,32.0963,45.6733,57.6952,-0.732554,NIP7,51388,M-020446-01,NM_016101,QDA103820,15,18,No
15083,152152513,,Inactive,0,,,MIDORI,47.3259,37.237,92.7941,127.094,0.0892371,0.0850713,835,1234,1031,-1.42753,38.4431,39.9446,56.7057,0.906437,ALPK3,57538,M-005350-02,NM_020778,QDA103607,10,16,No
15084,152152514,,Inactive,0,,,HPSE2,62.4418,41.4768,94.403,150.546,0.54065,0.472753,985,1121.5,961,0.337889,46.9036,59.5512,73.5435,-0.196815,HPSE2,60495,M-003675-01,NM_021828,QDA103988,5,14,No
15085,152152516,,Inactive,0,,,KRTHB4,22.616,33.7036,93.9919,67.1027,-1.06548,-1.37712,1098,1297,999,0.0601615,34.8816,41.3531,56.4758,0.155937,KRT84,3890,M-013651-01,NM_033045,QDA103793,6,16,No
15086,152152517,,Inactive,0,,,RGS16,51.6534,38.7128,94.8327,133.427,0.211141,0.1964,786,1071,930,-0.926409,39.6947,58.5053,70.947,-0.885656,RGS16,6004,M-008386-01,NM_002928,QDA103887,4,19,No
15087,152152520,,Inactive,0,,,REN,30.5792,20.4162,90.2684,149.779,0.525876,0.461051,1195,1385.5,1193,0.199691,40.4184,41.3965,56.0385,0.994548,REN,5972,M-006026-01,NM_000537,QDA103642,11,12,No
15088,152152521,,Inactive,0,,,ERMAP,40.1163,38.6461,95.3755,103.804,-0.359044,-0.37833,932,1126.5,949,-0.108193,44.0987,52.3892,67.9261,0.144871,ERMAP,114625,M-017103-01,NM_018538,QDA104015,4,14,No
15089,152152522,,Inactive,0,,,SORCS1,52.0286,33.8736,93.9618,153.597,0.599361,0.518674,1179,1304.5,1028.5,0.561221,31.9763,41.4728,55.8865,-0.30159,SORCS1,114815,M-013422-01,NM_001013031,QDA103599,5,19,No
15090,152152524,,Inactive,0,,,SPCS3,32.8442,20.4162,90.2684,160.873,0.739418,0.624636,1312,1385.5,1193,0.939089,42.7591,41.3965,56.0385,1.35144,SPCS3,60559,M-010124-02,NM_021928,QDA103642,8,19,No
15091,152152525,,Inactive,0,,,C16ORF34,35.9855,32.3804,95.0656,111.134,-0.217968,-0.222138,945,1236.5,1007,-0.660578,35.0265,43.8324,58.1195,-0.124336,HN1L,90861,M-021300-01,NM_144570,QDA103729,11,11,No
15092,152152527,,Inactive,0,,,GAGE2,27.734,40.6183,94.8739,68.2797,-1.04283,-1.33731,996,1086,927.5,0.677958,47.49,50.003,65.5727,0.826467,GAGE2,2574,M-011274-01,NM_001472,QDA103915,4,9,No
15093,152152529,,Inactive,0,,,FLJ90430,65.2885,32.3804,95.0656,201.63,1.52391,1.1416,961,1236.5,1007,-0.547279,46.6181,43.8324,58.1195,1.54482,ZNF680,340252,M-018017-01,NM_178558,QDA103729,14,3,No
15094,152152530,,Active,100,,,KLF16,61.71,19.5679,90.8493,315.363,3.71306,2.1656,973,1429.5,1158,-1.39254,34.3268,43.045,57.1216,-0.134666,KLF16,83855,M-007083-01,NM_031918,QDA103569,2,11,Yes
15095,152152531,,Inactive,0,,,TUBGCP2,26.8425,21.8358,91.9146,122.929,0.00906838,0.00879078,1160,1416.5,1136.5,-0.18193,41.2931,48.3002,59.2304,0.228026,TUBGCP2,10844,M-020208-01,NM_006659,QDA103591,3,3,No
15096,152152532,,Inactive,0,,,F11R,39.8367,21.1397,91.5204,188.445,1.27013,0.986786,938,1449.5,1145.5,-1.68619,28.0384,46.4647,58.6575,-1.35932,F11R,50848,M-005053-01,NM_016946,QDA103485,7,19,No
15097,152152533,,Inactive,0,,,LOC387775,28.0036,32.4599,94.5014,86.2714,-0.696519,-0.801875,1029,1301,999,-0.427005,35.7629,41.977,57.6373,0.209324,SLC22A10,387775,M-029855-01,NM_001039752,QDA103843,2,20,No
15098,152152535,,Inactive,0,,,IRLB,29.0896,34.1796,94.4197,85.1081,-0.718911,-0.832954,1274,1313.5,1037.5,1.14027,47.1743,49.3703,60.4839,0.862927,DENND4A,10260,M-022258-01,NM_005848,QDA103753,3,4,No
15099,152152538,,Inactive,0,,,PITX2,42.7215,21.1397,91.5204,202.092,1.5328,1.14684,1140,1449.5,1145.5,-0.465986,49.8246,46.4647,58.6575,1.60008,PITX2,5308,M-017315-02,NM_153427,QDA103485,13,6,No
15100,152152539,,Inactive,0,,,C19ORF2,37.9167,41.4768,94.403,91.4166,-0.597484,-0.669257,870,1121.5,961,-0.559948,41.7241,59.5512,73.5435,-0.745769,C19orf2,8725,M-017399-01,NM_134447,QDA103988,3,21,No
15101,152152540,,Inactive,0,,,ANP32B,31.8562,37.5458,94.6283,84.8463,-0.72395,-0.840008,1009,1123.5,982,0.51124,43.6075,60.3039,72.446,-0.603837,ANP32B,10541,M-020148-01,NM_006401,QDA103984,7,12,No
15102,152152542,,Inactive,0,,,IGFBP2,35.1373,43.3453,94.8239,81.0637,-0.796757,-0.944413,1095,1104,982.5,1.3322,41.0959,55.319,68.2809,-0.479123,IGFBP2,3485,M-010896-02,NM_000597,QDA104007,5,7,No
15103,152152544,,Inactive,0,,,CXCL9,28.4202,38.9748,94.738,72.9195,-0.953519,-1.18681,1114,1106.5,948,1.46293,43.6266,60.3996,72.0339,-0.609084,CXCL9,4283,M-007881-01,NM_002416,QDA103996,13,21,No
15104,152152546,,Inactive,0,,,OR4D2,33.5681,33.8533,95.2926,99.1574,-0.448489,-0.483179,1119,1096,946.5,1.58733,45.3083,58.7768,70.1715,-0.302621,OR4D2,124538,M-023249-01,NM_001004707,QDA103813,7,13,No
15105,152152547,,Active,100,,,USP43,67.8454,19.6397,90.8991,345.45,4.29218,2.37421,1144,1479.5,1170,-0.581948,46.0664,44.9175,57.0856,1.30513,USP43,124739,M-023019-03,NM_153210,QDA103646,2,12,Yes
