PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Vendor Supplied Gene Symbol,Raw Sample Value,Median Negative Control on Plate,Median Positive Control on Plate,PPT Sample as Percentage of Negative Control,PPT MAD Z-Score,PPT Log MAD Z-Score,"Cell Count, Sample",Median Negative Control Cell Count on Plate,Median Positive Control Cell Count on Plate,"Sample Cell Count, MAD Z-Score Normalized to Negative Control",Sample Mitochondrial Signal,Median Negative Control Mitochondrial Signal on Plate,Median Positive Control Mitochondrial Signal on Plate,"Sample mitochondrial signal, MAD Z-Score Normalized to Negative Control",HUGO Gene Symbol,Entrez GeneID,CatalogNumber,REFSEQ,PLATE ID,Row Number,Column Number,Passed Initial Activity Threshold?
RESULT_TYPE,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,TARGET_NCBI_GENE_ID,STRING,STRING,STRING,INTEGER,INTEGER,STRING
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,,,,NONE,NONE,
10716,135625211,,Inactive,0,,,POM121L2,27.3616,36.484,94.2952,74.996,-0.91355,-1.12253,843,1409.5,993,-2.11554,43.2977,48.0885,61.2497,0.514886,POM121L2,94026,M-032723-01,NM_033482,QDA103745,2,12,No
10717,135625212,,Inactive,0,,,LOC112703,46.2085,43.3453,94.8239,106.606,-0.305124,-0.317368,1111,1104,982.5,1.4591,41.8542,55.319,68.2809,-0.392604,-,112703,M-032724-01,NM_138411,QDA104007,14,20,No
10718,135625213,,Inactive,0,,,DYSFIP1,35.2554,36.5438,94.5212,96.4742,-0.500136,-0.545982,1061,1115.5,950.5,0.975797,55.2309,63.8407,73.5051,0.292467,DYSFIP1,116729,M-032726-00,NM_001007533,QDA103972,10,7,No
10719,135625214,,Inactive,0,,,LOC124512,37.5115,38.9748,94.738,96.2456,-0.504535,-0.551411,994,1106.5,948,0.513357,45.8753,60.3996,72.0339,-0.374099,-,124512,M-032730-01,NM_001080510,QDA103996,5,5,No
10720,135625215,,Inactive,0,,,LOC126075,47.9784,36.1611,95.1837,132.68,0.196755,0.18354,943,1090.5,955,0.219272,44.5387,58.5323,71.579,-0.365281,-,126075,M-032731-01,NM_001080503,QDA103802,4,7,No
10721,135625216,,Inactive,0,,,CST9,55.6459,36.3825,95.4171,152.947,0.586854,0.508968,1016,1049,940.5,1.12814,49.7047,55.3421,68.2537,0.500744,CST9,128822,M-032738-01,NM_001008693,QDA103929,15,12,No
10722,135625217,,Inactive,0,,,CMYA3,32.1992,36.804,94.9573,87.4883,-0.673097,-0.769809,1051,1138.5,959.5,0.730646,41.1037,49.9338,71.064,0.0275474,CMYA3,129446,M-032739-00,NM_001079810,QDA103944,5,8,No
10723,135625218,,Inactive,0,,,LOC130074,33.9303,36.484,94.2952,93.0005,-0.566997,-0.629932,824,1409.5,993,-2.23356,40.4126,48.0885,61.2497,0.136208,-,130074,M-032740-00,NM_001009993,QDA103745,15,8,No
10724,135625219,,Inactive,0,,,LOC130355,38.0999,35.7543,94.1109,106.56,-0.305996,-0.318341,915,1101,972,-0.0756098,56.2842,62.1164,73.382,0.551067,-,130355,M-032742-01,NM_001017927,QDA103960,9,21,No
10725,135625220,,Inactive,0,,,ARL9,40.3909,36.5438,94.5212,110.527,-0.229641,-0.234665,1168,1115.5,950.5,1.81567,63.1849,63.8407,73.5051,1.07885,ARL9,132946,M-032747-02,NM_206919,QDA103972,8,7,No
